codigo,titulo,ano,genero
100,Toy Story,1995,Animação
202,De Volta para o Futuro,1985,Ficção Científica
260,Jurassic Park,1993,Aventura
381,O Senhor dos Anéis: A Sociedade do Anel,2001,Fantasia
567,Matrix,1999,Ficção Científica
599,Clube da Luta,1999,Drama
637,Cidade de Deus,2002,Drama
867,O Poderoso Chefão,1972,Drama
1024,Vingadores: Ultimato,2019,Ação
1068,Parasita,2019,Drama
1181,Star Wars: Uma Nova Esperança,1977,Ficção Científica
1350,Interestelar,2014,Ficção Científica
1384,O Rei Leão,1994,Animação
1533,Forrest Gump,1994,Drama
1607,Pulp Fiction: Tempo de Violência,1994,Crime
1636,O Silêncio dos Inocentes,1991,Suspense
1678,Gladiador,2000,Ação
1809,Titanic,1997,Romance
1936,O Exorcista,1973,Terror
1973,Coringa,2019,Drama
2054,Cidadão Kane,1941,Drama
2097,Casablanca,1942,Romance
2258,Psicose,1960,Terror
2386,Tubarão,1975,Terror
2421,E.T. - O Extraterrestre,1982,Ficção Científica
2652,Os Caça-Fantasmas,1984,Comédia
2816,Rocky: Um Lutador,1976,Drama
2867,Rambo: Programado para Matar,1982,Ação
2944,Duro de Matar,1988,Ação
3125,Blade Runner,1982,Ficção Científica
3305,O Iluminado,1980,Terror
3474,Alien: O Oitavo Passageiro,1979,Terror
3509,Amadeus,1984,Biografia
3676,Dança com Lobos,1990,Aventura
3845,Uma Mente Brilhante,2001,Biografia
3966,O Resgate do Soldado Ryan,1998,Guerra
3998,A Lista de Schindler,1993,Biografia
4074,Os Infiltrados,2006,Crime
4105,Batman: O Cavaleiro das Trevas,2008,Ação
4267,Origem,2010,Ficção Científica
4506,WALL-E,2008,Animação
4560,Up: Altas Aventuras,2009,Animação
4654,Divertida Mente,2015,Animação
4781,Zootopia: Essa Cidade é o Bicho,2016,Animação
4837,Coco,2017,Animação
4995,Frozen: Uma Aventura Congelante,2013,Animação
5045,Shrek,2001,Animação
5211,Como Treinar o Seu Dragão,2010,Animação
5309,Procurando Nemo,2003,Animação
5472,Os Incríveis,2004,Animação
5700,Harry Potter e a Pedra Filosofal,2001,Fantasia
5894,O Senhor dos Anéis: As Duas Torres,2002,Fantasia
5960,O Senhor dos Anéis: O Retorno do Rei,2003,Fantasia
6006,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",2005,Fantasia
6174,Piratas do Caribe: A Maldição do Pérola Negra,2003,Aventura
6340,Indiana Jones e os Caçadores da Arca Perdida,1981,Aventura
6523,Star Wars: O Império Contra-Ataca,1980,Ficção Científica
6591,Star Wars: O Retorno de Jedi,1983,Ficção Científica
6706,Star Trek,2009,Ficção Científica
6750,Homem de Ferro,2008,Ação
6910,Capitão América: O Primeiro Vingador,2011,Ação
7112,Thor,2011,Fantasia
7148,Guardiões da Galáxia,2014,Ação
7312,Pantera Negra,2018,Ação
7347,Vingadores: Guerra Infinita,2018,Ação
7525,Deadpool,2016,Ação
7597,Logan,2017,Drama
7744,X-Men: Dias de um Futuro Esquecido,2014,Ação
7938,Os Vingadores,2012,Ação
8094,Homem-Aranha: De Volta ao Lar,2017,Ação
8223,Mulher-Maravilha,2017,Ação
8441,Superman: O Filme,1978,Ação
8541,Batman,1989,Ação
8680,Ela,2013,Romance
8849,La La Land: Cantando Estações,2016,Musical
8985,Whiplash: Em Busca da Perfeição,2014,Drama
9097,O Grande Hotel Budapeste,2014,Comédia
9193,Birdman ou (A Inesperada Virtude da Ignorância),2014,Drama
9276,Django Livre,2012,Faroeste
9499,Bastardos Inglórios,2009,Guerra
9565,Kill Bill: Volume 1,2003,Ação
9763,Cães de Aluguel,1992,Crime
9982,O Grande Truque,2006,Drama
10064,Doze Homens e uma Sentença,1957,Drama
10104,Um Sonho de Liberdade,1994,Drama
10271,Se7en: Os Sete Crimes Capitais,1995,Suspense
10367,Corra!,2017,Terror
10521,A Bruxa,2015,Terror
10667,"Corra, Lola, Corra",1998,Suspense
10911,Cisne Negro,2010,Suspense
11018,O Labirinto do Fauno,2006,Fantasia
11224,O Fabuloso Destino de Amélie Poulain,2001,Comédia
11358,Central do Brasil,1998,Drama
11451,Tropa de Elite,2007,Ação
11626,O Auto da Compadecida,2000,Comédia
11664,Bacurau,2019,Suspense
11714,Que Horas Ela Volta?,2015,Drama
11865,Diário de Motocicleta,2004,Biografia
11992,Vidas Secas,1963,Drama
12054,Dona Flor e Seus Dois Maridos,1976,Comédia
